Date;Total value in rubles;Total value in dollars;As pc of gdp;Liquid part in rubles;Liquid part in dollars;Dollars (in dollars);Euros (in euros);Sterlings (in sterlings);Yens (in yen);Yuan (in yuan);Gold (in T);Rubles;Deposits CBR;Link;Note;;
Jan 1, 21;13,5456630 tr;183,3575 bn;11.7;8,6578918 tr;117,1954 bn;51,2444 bn;44,1664 bn;8,5507 bn;0 bn;0 bn;0 t;11,6279 bn;0,5342677 bn;https://minfin.gov.ru/ru/press-center/?id_4=37349-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Dec 1, 20;13.45702 tr;177.393 bn;11.8;8.793 tr;115.91 bn;51.501 bn;44.378 bn;8.593 bn;0 bn;0 bn;0 t;0.5451 bn;0,579698 bn;"https://www.interfax.ru/business/740447; https://minfin.gov.ru/ru/press-center/?id_4=37317-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya";Sales of foreign currency to finance deficit;;
Nov 1, 20;13.29863 tr;167.63 bn;11.7;9.146 tr;115.28 bn;51,8874 bn;44,7055 bn;8,6586 bn;0 bn;0 bn;0 t;0,2787 bn;0,579,9644 bn;https://minfin.gov.ru/ru/press-center/?id_4=37271-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Oct 1, 20;13,7330510 tr;172,3428 bn;12.1;9,3459158 tr;117,2865 bn;52,8164 bn;45,4938 bn;8,8173 bn;0 bn;0 bn;0 t;0.5214 bn;0,5802431 bn;https://minfin.gov.ru/ru/press-center/?id_4=37221-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Sep 1, 20;13,2566592 tr;177,6123 bn;11.7;8,9102428 tr;119,379.1 bn;53,1567 bn;45,7821 bn;8,8755 bn;0 bn;0 bn;0 t;0,2622 bn;0,580,5024 bn;https://minfin.gov.ru/ru/press-center/?id_4=37171-informatsionnoe_soobshchenie_o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Aug 1, 20;12,9586783 tr;176,6371 bn;11.4;8,7068095 tr;118,6807 bn;53,2348 bn;45,8482 bn;8,8887 bn;0 bn;0 bn;0 t;0,2791 bn;0,5807645 bn;https://minfin.gov.ru/ru/press-center/?id_4=37144-o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya;;;
Jul 1, 20;12,1396019 tr;173,5436 bn;10.7;8,1186187 tr;116,061 bn;53,3610 bn;45,9594 bn;8,9109 bn;0 bn;0 bn;0 t;0,2482 bn;0,5810436 bn;https://minfin.gov.ru/ru/press-center/?id_4=37111-o_rezultatakh_razmeshcheniya_sredstv_fnb_na_1_iyulya_2020;;;
Jun 1, 20;12,1614822 tr;171,8889 bn;10.7;8,2050074 tr;115,9686 bn;53,3834 bn;45,9794 bn;8,9148 bn;0 bn;0 bn;0 t;40,2663 bn;540,6051 bn;https://minfin.gov.ru/ru/press-center/?id_4=37076-o_rezultatakh_razmeshcheniya_sredstv_fnb_na_1_iyunya_2020_g.;;;
May 1, 20;12,4057703 tr;168,3522 bn;10.9;8,4389321 tr;114,5203 bn;53,4243 bn;46,0173 bn;8,9224 bn;0 bn;0 bn;0 t;0 bn;580,8714 bn;https://minfin.gov.ru/ru/press-center/?id_4=37057-minfin_rossii_informiruet_o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya_za_period_s_1_yanvarya_po_30_aprelya_2020_g.;;;
Apr 1, 20;12.85575 tr;165.384 bn;11.3;;;57,2322 bn;49.484 bn;9.6162 bn;0 bn;0 bn;0 t;1494.25 bn;577,5626 bn;https://minfin.gov.ru/ru/press-center/?id_4=37023-minfin_rossii_informiruet_o_rezultatakh_razmeshcheniya_sredstv_fonda_natsionalnogo_blagosostoyaniya_za_period_s_1_yanvarya_po_31_marta_2020_g.;;;
Mar 1, 20;8.249.6 tr;123.145 bn;9.8;;;57.232.2 bn;49.484 bn;9.6162 bn;0 bn;0 bn;0 t;1494.25 bn;;https://www.interfax.ru/business/702508;;;
Feb 1, 20;7,8405451 tr;124,3822 bn;6.9;6,1973129 bn;98,3140 bn;45,3675 bn;39,0577 bn;7,6525 bn;0 bn;0 bn;0 t;0,1045 bn;570,8144 bn;https://minfin.gov.ru/ru/press-center/?id_4=36940-informatsionnoe_soobshchenie;;;
Jan 1, 20;7,7730626 tr;;;4,1221661 bn;;30,2066 bn;25,7429 bn;5,0647 bn;0 bn;0 bn;0 t;;;https://minfin.gov.ru/ru/press-center/?id_4=36930-informatsionnoe_soobshchenie;;;
